ingredient_slug,soluble_fibre_g_per_100g,source,method,citation
apple,0.75,fineli:28941,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 28941 'Apple, domestic, average, with skin': fibre, total (FIBC) 2.000 g minus fibre, water-insoluble (FIBINS) 1.25 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method D/AG, FIBINS S/S)"
beetroot,1.3,fineli:305,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 305 'Beetroot, red beet': fibre, total (FIBC) 2.500 g minus fibre, water-insoluble (FIBINS) 1.20 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method S/CG, FIBINS S/S)"
breakfast-cereal-corn-flakes,1,fineli:163,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 163 'Breakfast cereal, corn flakes': fibre, total (FIBC) 2.700 g minus fibre, water-insoluble (FIBINS) 1.70 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method D/AG, FIBINS S/S)"
broccoli,0.9,fineli:324,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 324 'Broccoli': fibre, total (FIBC) 2.500 g minus fibre, water-insoluble (FIBINS) 1.60 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method S/CG, FIBINS S/S)"
cabbage,1,fineli:320,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 320 'White cabbage': fibre, total (FIBC) 2.100 g minus fibre, water-insoluble (FIBINS) 1.10 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method D/AG, FIBINS S/S)"
carrot,0.95,fineli:300,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 300 'Carrot': fibre, total (FIBC) 2.550 g minus fibre, water-insoluble (FIBINS) 1.60 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method D/AG, FIBINS S/S)"
cauliflower,1.1,fineli:322,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 322 'Cauliflower': fibre, total (FIBC) 2.300 g minus fibre, water-insoluble (FIBINS) 1.20 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method D/AG, FIBINS S/S)"
chard,0.7,fineli:360,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 360 'Swiss chard': fibre, total (FIBC) 1.400 g minus fibre, water-insoluble (FIBINS) 0.70 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method S/CG, FIBINS S/S)"
eggplant,0.6,fineli:362,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 362 'Aubergine': fibre, total (FIBC) 2.500 g minus fibre, water-insoluble (FIBINS) 1.90 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method S/CG, FIBINS S/S)"
figs-dried,1.5,usda_fdc:746768,measured,"USDA FoodData Central Foundation Foods, fdc_id 746768 'Figs, dried, uncooked': nutrient 1082 Fiber, soluble = 1.5 g per 100 g (retrieved via codejetnet/food-data release data-20260925-3)"
flour-wheat-wholemeal,1,fineli:111,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 111 'Flour, whole wheat flour, graham flour': fibre, total (FIBC) 9.900 g minus fibre, water-insoluble (FIBINS) 8.90 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method S/CG, FIBINS S/S)"
grapes,0.2,fineli:423,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 423 'Grape, average, green or red, seedless': fibre, total (FIBC) 1.100 g minus fibre, water-insoluble (FIBINS) 0.90 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method D/AG, FIBINS S/S)"
green-beans,0.9,fineli:372,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 372 'Bean, green bean, string bean': fibre, total (FIBC) 2.400 g minus fibre, water-insoluble (FIBINS) 1.50 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method S/CG, FIBINS S/S)"
kiwi,0.7,usda_fdc:327046,measured,"USDA FoodData Central Foundation Foods, fdc_id 327046 'Kiwifruit, green, raw': nutrient 1082 Fiber, soluble = 0.7 g per 100 g (retrieved via codejetnet/food-data release data-20260925-3)"
leek,0.8,fineli:337,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 337 'Leek': fibre, total (FIBC) 2.100 g minus fibre, water-insoluble (FIBINS) 1.30 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method S/CG, FIBINS S/S)"
lettuce-iceberg,0.4,fineli:331,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 331 'Iceberg lettuce': fibre, total (FIBC) 1.200 g minus fibre, water-insoluble (FIBINS) 0.80 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method S/CG, FIBINS S/S)"
lettuce-romaine,0.1,usda_fdc:746769,measured,"USDA FoodData Central Foundation Foods, fdc_id 746769 'Lettuce, cos or romaine, raw': nutrient 1082 Fiber, soluble = 0.1 g per 100 g (retrieved via codejetnet/food-data release data-20260925-3)"
oats-rolled,5.4,fineli:153,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 153 'Oats, rolled, oat flakes': fibre, total (FIBC) 10.000 g minus fibre, water-insoluble (FIBINS) 4.60 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method D/AG, FIBINS S/S)"
onion,1,fineli:335,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 335 'Onion': fibre, total (FIBC) 1.700 g minus fibre, water-insoluble (FIBINS) 0.70 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method D/AG, FIBINS S/S)"
orange,0.9,fineli:11045,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 11045 'Orange without skin': fibre, total (FIBC) 2.100 g minus fibre, water-insoluble (FIBINS) 1.20 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method D/AG, FIBINS S/S)"
pasta-dry,1.35,fineli:117,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 117 'Macaroni, pasta': fibre, total (FIBC) 3.350 g minus fibre, water-insoluble (FIBINS) 2.00 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method D/AG, FIBINS S/S)"
pickled-cucumber,0.4,fineli:347,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 347 'Cucumber, pickled cucumber, without added sugar': fibre, total (FIBC) 1.100 g minus fibre, water-insoluble (FIBINS) 0.70 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method S/CG, FIBINS S/S)"
radish,0.6,fineli:308,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 308 'Radish': fibre, total (FIBC) 1.600 g minus fibre, water-insoluble (FIBINS) 1.00 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method S/CG, FIBINS S/S)"
red-cabbage,0.8,fineli:321,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 321 'Red cabbage': fibre, total (FIBC) 1.900 g minus fibre, water-insoluble (FIBINS) 1.10 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method S/CG, FIBINS S/S)"
semolina,0.9,fineli:112,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 112 'Semolina': fibre, total (FIBC) 3.500 g minus fibre, water-insoluble (FIBINS) 2.60 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method S/CG, FIBINS S/S)"
strawberries,0.4,fineli:447,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 447 'Strawberry': fibre, total (FIBC) 1.900 g minus fibre, water-insoluble (FIBINS) 1.50 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method D/AG, FIBINS S/S)"
tomato,1.2,fineli:352,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 352 'Tomato': fibre, total (FIBC) 1.400 g minus fibre, water-insoluble (FIBINS) 0.20 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method D/AG, FIBINS S/S)"
turnip,0.7,fineli:304,total_minus_insoluble,"Fineli release 18 (THL, CC-BY 4.0), food 304 'Turnip': fibre, total (FIBC) 1.900 g minus fibre, water-insoluble (FIBINS) 1.20 g per 100 g; Fineli total within 25 % of the catalogue's total fibre (FIBC acquisition/method S/CG, FIBINS S/S)"
